ALL DETECTORS
keypoint type, detector_type, mean # keypoints, mean # matched keypoints, mean keypoint time (ms), mean descriptor time (ms), total time (ms)
SHITOMASI, BRISK, 1288, 1161, 10.9033, 34.6466, 45.5499
SHITOMASI, BRIEF, 1228, 1108, 10.6027, 3.16783, 13.7705
SHITOMASI, ORB, 1217, 1097, 10.9725, 3.91221, 14.8847
SHITOMASI, FREAK, 1245, 1122, 9.57826, 31.0075, 40.5858
SHITOMASI, SIFT, 1342, 1208, 10.2606, 18.3071, 28.5677
HARRIS, BRISK, 499, 449, 10.3003, 37.1106, 47.4109
HARRIS, BRIEF, 485, 436, 10.6518, 2.12686, 12.7787
HARRIS, ORB, 482, 433, 10.7072, 4.83415, 15.5413
HARRIS, FREAK, 488, 439, 9.77616, 31.1064, 40.8825
HARRIS, SIFT, 513, 461, 8.37288, 12.8484, 21.2213
FAST, BRISK, 4679, 4205, 2.91704, 77.3344, 80.2515
FAST, BRIEF, 4382, 3941, 2.91588, 11.6241, 14.54
FAST, ORB, 4321, 3888, 2.92308, 10.2127, 13.1358
FAST, FREAK, 4471, 4017, 2.81359, 52.8393, 55.6528
FAST, SIFT, 4920, 4420, 3.21283, 96.6743, 99.8871
BRISK, BRISK, 2711, 2444, 71.6486, 51.8321, 123.481
BRISK, BRIEF, 2683, 2418, 66.7088, 5.20538, 71.9142
BRISK, ORB, 2670, 2406, 66.9168, 12.1661, 79.0829
BRISK, FREAK, 2299, 2072, 65.5711, 33.4039, 98.975
BRISK, SIFT, 2711, 2444, 72.0769, 93.0107, 165.088
ORB, BRISK, 396, 354, 15.0253, 27.9423, 42.9676
ORB, BRIEF, 500, 450, 6.51294, 1.19227, 7.70521
ORB, ORB, 500, 450, 7.0483, 11.7127, 18.761
ORB, FREAK, 167, 148, 6.15434, 23.0129, 29.1673
ORB, SIFT, 500, 450, 8.69464, 58.9304, 67.6251
AKAZE, BRISK, 1343, 1209, 45.5928, 43.9345, 89.5272
AKAZE, BRIEF, 1343, 1209, 47.6336, 4.19806, 51.8317
AKAZE, ORB, 1339, 1207, 45.6672, 10.4071, 56.0743
AKAZE, FREAK, 1343, 1209, 42.9102, 33.8058, 76.716
AKAZE, AKAZE, 1343, 1209, 48.2405, 42.1906, 90.4311
AKAZE, SIFT, 1343, 1209, 48.731, 33.1658, 81.8967
SIFT, BRISK, 1323, 1189, 83.3487, 36.6351, 119.984
SIFT, BRIEF, 1261, 1134, 87.6673, 3.26229, 90.9296
SIFT, FREAK, 1258, 1130, 84.4947, 33.2674, 117.762
SIFT, SIFT, 1386, 1243, 73.7031, 67.6497, 141.353

TOP 3 # MATCHES
FAST, SIFT, 4920, 4420, 3.21283, 96.6743, 99.8871
FAST, BRISK, 4679, 4205, 2.91704, 77.3344, 80.2515
FAST, FREAK, 4471, 4017, 2.81359, 52.8393, 55.6528

TOP 3 PERFORMANCE
ORB, BRIEF, 500, 450, 6.51294, 1.19227, 7.70521
HARRIS, BRIEF, 485, 436, 10.6518, 2.12686, 12.7787
FAST, ORB, 4321, 3888, 2.92308, 10.2127, 13.1358
